id,source,text,created
865173176854204416,iPhone,This is the single greatest witch hunt of a politician in American history!,2017-05-18T11:52:14Z
864511331029921792,iPhone,'U.S. Industrial Production Surged in April' https://t.co/S0Z4SEIRhi,2017-05-16T16:02:17Z
864452996129853444,iPhone,"I have been asking Director Comey &amp; others, from the beginning of my administration, to find the LEAKERS in the intelligence community.....",2017-05-16T12:10:29Z
864438529472049152,iPhone,"...to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS &amp; terrorism.",2017-05-16T11:13:00Z
864436162567471104,iPhone,"As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining....",2017-05-16T11:03:36Z
864296272844529664,iPhone,"#PeaceOfficersMemorialDay and
#PoliceWeek Proclamation: https://t.co/o4IXVfZuHw https://t.co/UMJ6hklx4a",2017-05-16T01:47:43Z
864207293289771012,iPhone,"Today, I delivered remarks at the 36th Annual National Peace Officers' Memorial Service. 
#NationalPoliceWeek
Watch… https://t.co/3EioVDCTqb",2017-05-15T19:54:09Z
863774341921742848,iPhone,"Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! 

Happy #MothersDay",2017-05-14T15:13:45Z
863452412459307009,iPhone,Will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. (Saturday night). Enjoy!,2017-05-13T17:54:31Z
863139099825364994,iPhone,"Today, @FLOTUS hosted a Military Mother's Day Event in the East Room of the WH. It was an honor to stop by, say hel… https://t.co/wNVB0PYoef",2017-05-12T21:09:32Z
863020954427043840,iPhone,"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",2017-05-12T13:20:04Z
863014620516233216,iPhone,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",2017-05-12T12:54:54Z
863007411132649473,iPhone,"James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!",2017-05-12T12:26:15Z
863002719400976384,iPhone,"...Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???",2017-05-12T12:07:36Z
863000553265270786,iPhone,"As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy!....",2017-05-12T11:59:00Z
862999243560288256,iPhone,The Fake Media is working overtime today!,2017-05-12T11:53:48Z
862998775731818496,iPhone,"Again, the story that there was collusion between the Russians &amp; Trump campaign was fabricated by Dems as an excuse for losing the election.",2017-05-12T11:51:56Z
862788002594127873,iPhone,"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo… https://t.co/hm4U54DCQO",2017-05-11T21:54:24Z
862767872879325185,iPhone,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,2017-05-11T20:34:25Z
862758098892619780,iPhone,We finally agree on something Rosie. https://t.co/BSP5F3PgbZ,2017-05-11T19:55:34Z
862753016193089536,iPhone,"'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity'
➡️… https://t.co/kVG8r7qZS5",2017-05-11T19:35:22Z
862752672683839488,iPhone,'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure'… https://t.co/kQDBvXPekk,2017-05-11T19:34:00Z
862460991451344896,iPhone,"The Democrats should be ashamed. This is a disgrace!
#DrainTheSwamp https://t.co/UfbKEECm2V",2017-05-11T00:14:58Z
862387734492663808,iPhone,Dems have been complaining for months &amp; months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,2017-05-10T19:23:52Z
862290442129461249,iPhone,The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.,2017-05-10T12:57:16Z
862286091759611905,iPhone,"caught, he cried like a baby and begged for forgiveness...and now he is judge &amp; jury. He should be the one who is investigated for his acts.",2017-05-10T12:39:59Z
862283792559616000,iPhone,"years, as a pol in Connecticut, Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When....",2017-05-10T12:30:51Z
862282202188566529,iPhone,"Watching Senator Richard Blumenthal speak of Comey is a joke. ""Richie"" devised one of the greatest military frauds in U.S. history. For....",2017-05-10T12:24:32Z
862267781336752128,iPhone,"Comey lost the confidence of almost everyone in Washington, Republican and Democrat alike. When things calm down, they will be thanking me!",2017-05-10T11:27:13Z
862265729718128641,iPhone,"James Comey will be replaced by someone who will do a far better job, bringing back the spirit and prestige of the FBI.",2017-05-10T11:19:04Z
862263649821503489,iPhone,"The Democrats have said some of the worst things about James Comey, including the fact that he should be fired, but now they play so sad!",2017-05-10T11:10:48Z
862135824745467905,iPhone,"Cryin' Chuck Schumer stated recently, ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant.  #draintheswamp",2017-05-10T02:42:52Z
862059314277748736,iPhone,"'Manufacturing openings, hires rise to highest levels of the recovery'
https://t.co/txFZDYYIOe",2017-05-09T21:38:51Z
861993986436866049,iPhone,"It was an honor to welcome the Teachers of the Year to the WH last month. Today, we honor and thank all teachers!… https://t.co/sAUJfIZCwR",2017-05-09T17:19:16Z
861715019674910721,iPhone,Biggest story today between Clapper &amp; Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,2017-05-08T22:50:45Z
861713823505494016,iPhone,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",2017-05-08T22:46:00Z
861713233786404864,iPhone,Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,2017-05-08T22:43:39Z
